Time	Node	Type	Packets	
1	5	CacheHits	0
1	5	CacheMisses	2449
2	5	CacheHits	0
2	5	CacheMisses	2473
3	5	CacheHits	0
3	5	CacheMisses	2470
4	5	CacheHits	0
4	5	CacheMisses	2474
5	5	CacheHits	0
5	5	CacheMisses	2470
6	5	CacheHits	0
6	5	CacheMisses	2473
7	5	CacheHits	0
7	5	CacheMisses	2470
8	5	CacheHits	0
8	5	CacheMisses	2474
9	5	CacheHits	0
9	5	CacheMisses	2470
10	5	CacheHits	0
10	5	CacheMisses	2473
11	5	CacheHits	0
11	5	CacheMisses	2473
12	5	CacheHits	0
12	5	CacheMisses	2470
13	5	CacheHits	0
13	5	CacheMisses	2474
14	5	CacheHits	0
14	5	CacheMisses	2470
15	5	CacheHits	0
15	5	CacheMisses	2473
16	5	CacheHits	0
16	5	CacheMisses	2470
17	5	CacheHits	0
17	5	CacheMisses	2474
18	5	CacheHits	0
18	5	CacheMisses	2470
19	5	CacheHits	0
19	5	CacheMisses	2473
20	5	CacheHits	0
20	5	CacheMisses	2470
21	5	CacheHits	0
21	5	CacheMisses	2473
22	5	CacheHits	0
22	5	CacheMisses	2471
23	5	CacheHits	0
23	5	CacheMisses	2473
24	5	CacheHits	0
24	5	CacheMisses	2470
25	5	CacheHits	0
25	5	CacheMisses	2473
26	5	CacheHits	0
26	5	CacheMisses	2471
27	5	CacheHits	0
27	5	CacheMisses	2473
28	5	CacheHits	0
28	5	CacheMisses	2470
29	5	CacheHits	0
29	5	CacheMisses	2473
30	5	CacheHits	0
30	5	CacheMisses	2474
31	5	CacheHits	0
31	5	CacheMisses	2470
32	5	CacheHits	0
32	5	CacheMisses	2473
33	5	CacheHits	0
33	5	CacheMisses	2470
34	5	CacheHits	0
34	5	CacheMisses	2473
35	5	CacheHits	0
35	5	CacheMisses	2470
36	5	CacheHits	0
36	5	CacheMisses	2473
37	5	CacheHits	0
37	5	CacheMisses	2470
38	5	CacheHits	0
38	5	CacheMisses	2473
39	5	CacheHits	0
39	5	CacheMisses	2470
40	5	CacheHits	0
40	5	CacheMisses	2473
41	5	CacheHits	0
41	5	CacheMisses	2470
42	5	CacheHits	0
42	5	CacheMisses	2473
43	5	CacheHits	0
43	5	CacheMisses	2470
44	5	CacheHits	0
44	5	CacheMisses	2473
45	5	CacheHits	0
45	5	CacheMisses	2470
46	5	CacheHits	0
46	5	CacheMisses	2473
47	5	CacheHits	0
47	5	CacheMisses	2472
48	5	CacheHits	0
48	5	CacheMisses	2471
49	5	CacheHits	0
49	5	CacheMisses	2473
50	5	CacheHits	0
50	5	CacheMisses	2470
51	5	CacheHits	0
51	5	CacheMisses	2473
52	5	CacheHits	0
52	5	CacheMisses	2470
53	5	CacheHits	0
53	5	CacheMisses	2473
54	5	CacheHits	0
54	5	CacheMisses	2470
55	5	CacheHits	0
55	5	CacheMisses	2473
56	5	CacheHits	0
56	5	CacheMisses	2470
57	5	CacheHits	0
57	5	CacheMisses	2473
58	5	CacheHits	0
58	5	CacheMisses	2471
59	5	CacheHits	0
59	5	CacheMisses	2472
60	5	CacheHits	0
60	5	CacheMisses	2471
61	5	CacheHits	0
61	5	CacheMisses	2473
62	5	CacheHits	0
62	5	CacheMisses	2470
63	5	CacheHits	0
63	5	CacheMisses	2473
64	5	CacheHits	0
64	5	CacheMisses	2470
65	5	CacheHits	0
65	5	CacheMisses	3214
66	5	CacheHits	0
66	5	CacheMisses	2553
67	5	CacheHits	0
67	5	CacheMisses	2551
68	5	CacheHits	0
68	5	CacheMisses	2552
69	5	CacheHits	0
69	5	CacheMisses	2551
70	5	CacheHits	0
70	5	CacheMisses	2550
71	5	CacheHits	0
71	5	CacheMisses	2548
72	5	CacheHits	0
72	5	CacheMisses	2549
73	5	CacheHits	0
73	5	CacheMisses	2548
74	5	CacheHits	0
74	5	CacheMisses	2548
75	5	CacheHits	0
75	5	CacheMisses	2548
76	5	CacheHits	0
76	5	CacheMisses	2548
77	5	CacheHits	0
77	5	CacheMisses	2548
78	5	CacheHits	0
78	5	CacheMisses	2548
79	5	CacheHits	0
79	5	CacheMisses	2548
80	5	CacheHits	0
80	5	CacheMisses	2548
81	5	CacheHits	0
81	5	CacheMisses	2548
82	5	CacheHits	0
82	5	CacheMisses	2548
83	5	CacheHits	0
83	5	CacheMisses	2549
84	5	CacheHits	0
84	5	CacheMisses	2547
85	5	CacheHits	0
85	5	CacheMisses	2548
86	5	CacheHits	0
86	5	CacheMisses	2547
87	5	CacheHits	0
87	5	CacheMisses	2546
88	5	CacheHits	0
88	5	CacheMisses	2545
89	5	CacheHits	0
89	5	CacheMisses	2546
90	5	CacheHits	0
90	5	CacheMisses	2546
91	5	CacheHits	0
91	5	CacheMisses	2546
92	5	CacheHits	0
92	5	CacheMisses	2546
93	5	CacheHits	0
93	5	CacheMisses	2546
94	5	CacheHits	0
94	5	CacheMisses	2545
95	5	CacheHits	0
95	5	CacheMisses	2546
96	5	CacheHits	0
96	5	CacheMisses	2546
97	5	CacheHits	0
97	5	CacheMisses	2546
98	5	CacheHits	0
98	5	CacheMisses	2546
99	5	CacheHits	0
99	5	CacheMisses	2546
100	5	CacheHits	0
100	5	CacheMisses	2545
101	5	CacheHits	0
101	5	CacheMisses	2546
102	5	CacheHits	0
102	5	CacheMisses	2546
103	5	CacheHits	0
103	5	CacheMisses	2546
104	5	CacheHits	0
104	5	CacheMisses	2546
105	5	CacheHits	0
105	5	CacheMisses	2545
106	5	CacheHits	0
106	5	CacheMisses	2546
107	5	CacheHits	0
107	5	CacheMisses	2546
108	5	CacheHits	0
108	5	CacheMisses	2546
109	5	CacheHits	0
109	5	CacheMisses	2546
110	5	CacheHits	0
110	5	CacheMisses	2546
111	5	CacheHits	0
111	5	CacheMisses	2545
112	5	CacheHits	0
112	5	CacheMisses	2546
113	5	CacheHits	0
113	5	CacheMisses	2546
114	5	CacheHits	0
114	5	CacheMisses	2546
115	5	CacheHits	0
115	5	CacheMisses	2546
116	5	CacheHits	0
116	5	CacheMisses	2546
117	5	CacheHits	0
117	5	CacheMisses	2545
118	5	CacheHits	0
118	5	CacheMisses	2546
119	5	CacheHits	0
119	5	CacheMisses	2546
120	5	CacheHits	0
120	5	CacheMisses	2543
121	5	CacheHits	0
121	5	CacheMisses	2543
122	5	CacheHits	0
122	5	CacheMisses	2542
123	5	CacheHits	0
123	5	CacheMisses	2543
124	5	CacheHits	0
124	5	CacheMisses	2543
125	5	CacheHits	0
125	5	CacheMisses	2543
126	5	CacheHits	0
126	5	CacheMisses	2543
127	5	CacheHits	0
127	5	CacheMisses	2543
128	5	CacheHits	0
128	5	CacheMisses	2543
129	5	CacheHits	0
129	5	CacheMisses	2543
130	5	CacheHits	0
130	5	CacheMisses	2543
131	5	CacheHits	0
131	5	CacheMisses	2542
132	5	CacheHits	0
132	5	CacheMisses	2543
133	5	CacheHits	0
133	5	CacheMisses	2543
134	5	CacheHits	0
134	5	CacheMisses	2543
135	5	CacheHits	0
135	5	CacheMisses	2543
136	5	CacheHits	0
136	5	CacheMisses	2543
137	5	CacheHits	0
137	5	CacheMisses	2543
138	5	CacheHits	0
138	5	CacheMisses	2543
139	5	CacheHits	0
139	5	CacheMisses	2543
140	5	CacheHits	0
140	5	CacheMisses	2542
141	5	CacheHits	0
141	5	CacheMisses	2543
142	5	CacheHits	0
142	5	CacheMisses	2543
143	5	CacheHits	0
143	5	CacheMisses	2645
144	5	CacheHits	0
144	5	CacheMisses	2550
145	5	CacheHits	0
145	5	CacheMisses	2548
146	5	CacheHits	0
146	5	CacheMisses	2549
147	5	CacheHits	0
147	5	CacheMisses	2549
148	5	CacheHits	0
148	5	CacheMisses	2549
149	5	CacheHits	0
149	5	CacheMisses	2546
150	5	CacheHits	0
150	5	CacheMisses	2546
151	5	CacheHits	0
151	5	CacheMisses	2545
152	5	CacheHits	0
152	5	CacheMisses	2546
153	5	CacheHits	0
153	5	CacheMisses	2546
154	5	CacheHits	0
154	5	CacheMisses	2546
155	5	CacheHits	0
155	5	CacheMisses	2546
156	5	CacheHits	0
156	5	CacheMisses	2546
157	5	CacheHits	0
157	5	CacheMisses	2545
158	5	CacheHits	0
158	5	CacheMisses	2546
159	5	CacheHits	0
159	5	CacheMisses	2546
160	5	CacheHits	0
160	5	CacheMisses	2546
161	5	CacheHits	0
161	5	CacheMisses	2546
162	5	CacheHits	0
162	5	CacheMisses	2545
163	5	CacheHits	0
163	5	CacheMisses	2546
164	5	CacheHits	0
164	5	CacheMisses	2546
165	5	CacheHits	0
165	5	CacheMisses	2546
166	5	CacheHits	0
166	5	CacheMisses	2546
167	5	CacheHits	0
167	5	CacheMisses	2546
168	5	CacheHits	0
168	5	CacheMisses	2545
169	5	CacheHits	0
169	5	CacheMisses	2546
170	5	CacheHits	0
170	5	CacheMisses	2546
171	5	CacheHits	0
171	5	CacheMisses	2546
172	5	CacheHits	0
172	5	CacheMisses	2646
173	5	CacheHits	0
173	5	CacheMisses	2548
174	5	CacheHits	0
174	5	CacheMisses	2547
175	5	CacheHits	0
175	5	CacheMisses	2547
176	5	CacheHits	0
176	5	CacheMisses	2546
177	5	CacheHits	0
177	5	CacheMisses	2547
178	5	CacheHits	0
178	5	CacheMisses	2547
179	5	CacheHits	0
179	5	CacheMisses	2547
180	5	CacheHits	0
180	5	CacheMisses	2547
181	5	CacheHits	0
181	5	CacheMisses	2547
182	5	CacheHits	0
182	5	CacheMisses	2546
183	5	CacheHits	0
183	5	CacheMisses	2547
184	5	CacheHits	0
184	5	CacheMisses	2547
185	5	CacheHits	0
185	5	CacheMisses	2547
186	5	CacheHits	0
186	5	CacheMisses	2547
187	5	CacheHits	0
187	5	CacheMisses	2546
188	5	CacheHits	0
188	5	CacheMisses	2547
189	5	CacheHits	0
189	5	CacheMisses	2546
190	5	CacheHits	0
190	5	CacheMisses	2546
191	5	CacheHits	0
191	5	CacheMisses	2545
192	5	CacheHits	0
192	5	CacheMisses	2546
193	5	CacheHits	0
193	5	CacheMisses	2546
194	5	CacheHits	0
194	5	CacheMisses	2546
195	5	CacheHits	0
195	5	CacheMisses	2546
196	5	CacheHits	0
196	5	CacheMisses	2546
197	5	CacheHits	0
197	5	CacheMisses	2545
198	5	CacheHits	0
